Cluster,Analysis,Backdoor,Bot,DDoS,DoS,DoS GoldenEye,DoS Hulk,DoS SlowHTTPTest,DoS Slowloris,Exploits,FTP Patator,Fuzzers,Generic,Heartbleed,Infiltration,Normal,Port Scan,Reconnaissance,SSH Patator,Shellcode,Web Attack - Brute Force,Web Attack - SQL Injection,Web Attack - XSS,Worms
Cluster 182,0,0,0,0,1,0,0,0,0,1,0,0,143,0,0,0,0,1,0,0,0,0,0,0
Cluster 183,0,0,0,0,0,0,1374,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cluster 184,0,0,0,0,0,0,0,0,0,0,1365,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2602,0,0,0
Cluster 186,0,0,0,0,1,0,0,0,471,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cluster 187,0,0,0,1559,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
Cluster 188,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0
Cluster 189,0,0,0,0,0,0,0,0,0,1360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,843,0,0,0,0,0
Cluster 190,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 191,0,0,0,0,0,0,0,0,0,0,0,0,538,0,0,0,0,0,0,0,0,0,0,0
Cluster 192,0,0,0,0,0,0,4715,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Cluster 193,0,0,0,0,0,0,3971,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Cluster 194,0,0,0,0,1,0,0,0,0,220,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cluster 195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,879,0,0,0,0,0
Cluster 196,0,0,0,0,1,0,0,0,0,19,0,94,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 197,0,0,0,0,0,0,6030,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Cluster 198,0,322,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
